RMSE,SPECTRAL_CENTROID,SPECTRAL_BANDWIDTH,ROLLOFF,ZERO_CROSSING_RATE,MFCC_FEATURE_0,MFCC_FEATURE_1,MFCC_FEATURE_2,MFCC_FEATURE_3,MFCC_FEATURE_4,MFCC_FEATURE_5,MFCC_FEATURE_6,MFCC_FEATURE_7,MFCC_FEATURE_8,MFCC_FEATURE_9,MFCC_FEATURE_10,MFCC_FEATURE_11,MFCC_FEATURE_12,MFCC_FEATURE_13,MFCC_FEATURE_14,MFCC_FEATURE_15,MFCC_FEATURE_16,MFCC_FEATURE_17,MFCC_FEATURE_18,MFCC_FEATURE_19,LABEL
0.062325493,2316.9890202525603,2757.101549054876,5547.03594501202,0.0846717247596153,-187.26079,89.72672,21.389318,22.149347,3.9050262,-5.3993673,-0.2281202,-1.661357,-10.388621,1.3726318,-2.333436,3.3668947,0.23864958,0.3067486,-9.77644,-6.8350854,-6.5274205,0.0021860856,-2.3804326,3.5136833,piano
0.20217907,2671.3238699129934,2686.6134614651114,5805.765662560096,0.1282489483173076,-4.85361,83.54674,0.7464109,30.466993,9.41639,4.399628,-7.996092,3.9932964,-0.19313592,3.0937092,-3.7508883,3.4465594,-2.8107932,0.5888648,-4.0936527,-1.1156832,-2.8244696,0.74134195,-8.78081,-3.13261,electric_guitar
0.045503896,907.9213827716382,1027.2322354144471,1437.7554086538462,0.0638859675480769,-307.56058,192.76907,-23.081457,15.368303,-8.382542,-6.167749,4.6445556,-0.008239805,4.975145,-1.8607217,-12.234752,-9.424538,-7.596852,-4.4586973,1.292051,2.8265867,2.0270884,1.0764986,-0.41236618,-3.329628,piano
0.026259415,437.36410974817926,711.8867507800041,652.6216947115385,0.0282789963942307,-470.48984,236.54242,62.55417,0.5137277,4.260558,3.3950617,-2.038873,-3.0651503,-2.5411437,-2.0086877,-0.42399314,-0.93310124,-6.501129,-9.897833,-6.918441,-5.3045297,-8.581144,-8.919804,-2.112768,3.097034,piano
0.052508056,821.5588367307664,979.0455880069252,1135.87646484375,0.060674579326923,-337.16296,200.18973,5.0955315,-18.062876,-1.5233977,-6.9011908,-5.6717024,1.8195728,6.761717,6.362008,-3.3000338,-5.2950296,-4.428859,0.438058,-4.3299317,-5.4884257,-0.99126613,-3.633189,-7.3305745,-1.8824327,piano
0.13289812,1861.3504829862925,2506.600869024332,4480.231370192308,0.059307391826923,-140.90067,111.6653,46.44317,26.764786,-4.6409507,16.750723,-3.5463004,3.1550095,-0.60402423,-2.6063843,-9.197318,-4.3674607,-7.1974216,-6.9523683,-14.207083,-7.082973,-6.0492783,1.8778734,-0.5154077,1.0513289,electric_guitar
0.20721614,2595.4917673956547,2659.7242662710987,5671.514423076923,0.1155048076923077,-4.213752,85.30924,0.85716707,31.78611,8.899662,6.166,-5.3070846,4.847861,0.5511221,2.7362263,-3.2074068,4.288121,-1.7765588,1.5116099,-3.4509468,-1.2132989,-1.9032634,2.917002,-5.85814,-1.8252497,electric_guitar
0.11952038,1412.9226506501288,1855.347354012854,2932.490985576923,0.0566293569711538,-212.4407,132.7202,4.587752,27.795305,2.9422073,17.126894,9.071842,12.046955,18.306114,21.206074,13.951699,-0.08552264,-17.447119,-14.340652,-8.385131,-4.8488245,-3.728725,4.426011,2.4295006,-3.172759,electric_guitar
0.113678865,1490.9700503930303,2026.129163951824,3050.261042668269,0.0532489483173076,-169.53004,129.10733,3.775075,16.828203,-0.7297609,6.4981794,-4.237591,-1.9059274,-7.5898576,0.18384446,-4.632316,-1.7531893,-5.1320386,-0.15030894,-5.142914,3.9477704,-5.1106043,-1.4467238,-4.8731003,-1.3648478,piano
0.119264305,2194.26363267179,2905.3985669389526,5955.752704326923,0.0592134915865384,-174.45496,86.599495,43.506695,14.10376,25.494284,24.690687,-12.212189,3.447253,-11.72968,-1.7679136,-11.472399,0.2003773,-8.7785845,-1.3870366,-5.3810143,-6.919479,-3.719905,8.859915,8.451486,10.825197,electric_guitar
